"congress","state","congressional_district","party","name","ideology_score"
113,"CALIFOR",39,"Republican","ROYCE",0.925
113,"CALIFOR",40,"Democrat","ROYBAL-A",-0.399
113,"CALIFOR",41,"Democrat","TAKANO",-0.493
113,"CALIFOR",42,"Republican","CALVERT",0.536
113,"CALIFOR",43,"Democrat","WATERS",-0.544
113,"CALIFOR",44,"Democrat","HAHN",-0.442
113,"CALIFOR",45,"Republican","CAMPBELL",1.044
113,"CALIFOR",46,"Democrat","SANCHEZ",-0.351
113,"CALIFOR",47,"Democrat","LOWENTHAL",-0.5
113,"CALIFOR",48,"Republican","ROHRABAC",1.037
113,"CALIFOR",49,"Republican","ISSA",0.817
113,"CALIFOR",50,"Republican","HUNTER",0.742
113,"CALIFOR",51,"Democrat","VARGAS",-0.361
113,"CALIFOR",52,"Democrat","PETERS",-0.152
113,"CALIFOR",53,"Democrat","DAVIS",-0.349
113,"COLORAD",1,"Democrat","DEGETTE",-0.396
113,"COLORAD",2,"Democrat","POLIS",-0.341
113,"COLORAD",3,"Republican","TIPTON",0.762
113,"COLORAD",4,"Republican","GARDNER",0.783
113,"COLORAD",5,"Republican","LAMBORN",0.857
113,"COLORAD",6,"Republican","COFFMAN",0.845
113,"COLORAD",7,"Democrat","PERLMUTTER",-0.281
113,"CONNECT",1,"Democrat","LARSON",-0.391
113,"CONNECT",2,"Democrat","COURTNEY",-0.329
113,"CONNECT",3,"Democrat","DELAURO",-0.434
113,"CONNECT",4,"Democrat","HIMES",-0.244
113,"CONNECT",5,"Democrat","ESTY",-0.303
113,"DELAWAR",1,"Democrat","CARNEY",-0.242
113,"FLORIDA",1,"Republican","MILLER",0.886
113,"FLORIDA",2,"Republican","SOUTHERLA",0.821
113,"FLORIDA",3,"Republican","YOHO",0.957
113,"FLORIDA",4,"Republican","CRENSHAW",0.486
113,"FLORIDA",5,"Democrat","BROWN",-0.352
113,"FLORIDA",6,"Republican","DESANTIS",0.929
113,"FLORIDA",7,"Republican","MICA",0.701
113,"FLORIDA",8,"Republican","POSEY",0.791
113,"FLORIDA",9,"Democrat","GRAYSON",-0.417
113,"FLORIDA",10,"Republican","WEBSTER",0.698
113,"FLORIDA",11,"Republican","NUGENT",0.778
113,"FLORIDA",12,"Republican","BILIRAKI",0.623
113,"FLORIDA",13,"Republican","YOUNG",0.547
113,"FLORIDA",13,"Republican","JOLLY",0.349
113,"FLORIDA",14,"Democrat","CASTOR",-0.39
113,"FLORIDA",15,"Republican","ROSS",0.776
113,"FLORIDA",16,"Republican","BUCHANAN",0.641
113,"FLORIDA",17,"Republican","ROONEY",0.763
113,"FLORIDA",18,"Democrat","MURPHY",-0.127
113,"FLORIDA",19,"Republican","RADEL",0.956
113,"FLORIDA",20,"Democrat","HASTINGS",-0.465
113,"FLORIDA",21,"Democrat","DEUTCH",-0.401
113,"FLORIDA",22,"Democrat","FRANKEL",-0.415
113,"FLORIDA",23,"Democrat","WASSERMA",-0.367
113,"FLORIDA",24,"Democrat","WILSON",-0.431
113,"FLORIDA",25,"Republican","DIAZ-BAL",0.331
113,"FLORIDA",26,"Democrat","GARCIA",-0.173
113,"FLORIDA",27,"Republican","ROS-LEHT",0.506
113,"GEORGIA",1,"Republican","KINGSTON",0.805
113,"GEORGIA",2,"Democrat","BISHOP",-0.236
113,"GEORGIA",3,"Republican","WESTMORE",0.877
113,"GEORGIA",4,"Democrat","JOHNSON",-0.422
113,"GEORGIA",5,"Democrat","LEWIS",-0.535
113,"GEORGIA",6,"Republican","PRICE",0.931
113,"GEORGIA",7,"Republican","WOODALL",0.98
113,"GEORGIA",8,"Republican","SCOTT",0.789
113,"GEORGIA",9,"Republican","COLLINS",0.909
113,"GEORGIA",10,"Republican","BROUN",0.984
113,"GEORGIA",11,"Republican","GINGREY",0.847
113,"GEORGIA",12,"Democrat","BARROW",-0.158
113,"GEORGIA",13,"Democrat","SCOTT",-0.368
113,"GEORGIA",14,"Republican","GRAVES",0.998
113,"HAWAII",1,"Democrat","HANABUSA",-0.341
113,"HAWAII",2,"Democrat","GABBARD",-0.276
113,"IDAHO",1,"Republican","LABRADOR",0.997
113,"IDAHO",2,"Republican","SIMPSON",0.412
113,"ILLINOI",1,"Democrat","RUSH",-0.386
113,"ILLINOI",2,"Democrat","KELLY",-0.427
113,"ILLINOI",3,"Democrat","LIPINSKI",-0.206
113,"ILLINOI",4,"Democrat","GUTIERRE",-0.488
113,"ILLINOI",5,"Democrat","QUIGLEY",-0.335
113,"ILLINOI",6,"Republican","ROSKAM",0.7
113,"ILLINOI",7,"Democrat","DAVIS",-0.469
113,"ILLINOI",8,"Democrat","DUCKWORTH",-0.257
113,"ILLINOI",9,"Democrat","SCHAKOWS",-0.578
113,"ILLINOI",10,"Democrat","SCHNEIDER",-0.178
113,"ILLINOI",11,"Democrat","FOSTER",-0.233
113,"ILLINOI",12,"Democrat","ENYART",-0.242
113,"ILLINOI",13,"Republican","DAVIS",0.723
113,"ILLINOI",14,"Republican","HULTGREN",0.777
113,"ILLINOI",15,"Republican","SHIMKUS",0.616
113,"ILLINOI",16,"Republican","KINZINGER",0.615
113,"ILLINOI",17,"Democrat","BUSTOS",-0.195
113,"ILLINOI",18,"Republican","SCHOCK",0.561
